Time ns, Temperature
1583585217900158677, 1702
1583585218900197370, 1711
1583585219900200063, 1727
1583585220900217610, 1711
1583585221900162597, 1719
1583585222900171636, 1712
1583585223900230198, 1712
1583585224900184639, 1698
1583585225900169434, 1715
1583585226900224573, 1727
1583585227900215267, 1711
1583585228900179853, 1712
1583585229900213756, 1696
1583585230900205435, 1709
1583585231900176057, 1738
1583585232900235427, 1713
1583585233900187626, 1712
1583585234900245772, 1681
1583585235900301534, 1712
1583585236900289572, 1712
1583585237900299885, 1709
1583585238900169284, 1702
1583585239900248160, 1705
1583585240900232438, 1715
1583585241900233358, 1702
1583585242900232384, 1699
1583585243900237407, 1700
1583585244900227733, 1712
1583585245900208662, 1712
1583585246900243225, 1703
1583585247900256216, 1711
1583585248900243851, 1691
1583585249900262410, 1728
1583585250900244140, 1711
1583585251900245973, 1705
1583585252900257261, 1704
1583585253900263198, 1702
1583585254900224080, 1701
1583585255900255811, 1712
1583585256900237310, 1703
1583585257900269871, 1715
1583585258900252374, 1718
1583585259900268007, 1711
1583585260900274820, 1689
1583585261901283130, 1712
1583585262901293793, 1701
1583585263901231866, 1687
1583585264901282220, 1690
1583585265901271336, 1707
1583585266901267665, 1705
1583585267901330404, 1726
1583585268901252874, 1706
1583585269901278666, 1713
1583585270901264763, 1725
1583585271901245388, 1695
1583585272901249609, 1703
1583585273901244599, 1683
1583585274901250539, 1721
1583585275901261787, 1705
1583585276901285057, 1695
1583585277901251734, 1699
1583585278901254357, 1714
1583585279901249615, 1698
1583585280901260865, 1701
1583585281901251443, 1703
1583585282901230945, 1701
1583585283901260487, 1699
1583585284901297179, 1699
1583585285901302536, 1693
1583585286901302559, 1713
1583585287901303854, 1694
1583585288901281744, 1712
1583585289901328486, 1682
1583585290901247921, 1697
1583585291901318238, 1715
1583585292901284301, 1705
1583585293901313454, 1715
1583585294901323520, 1714
1583585295901306890, 1714
1583585296901307499, 1707
1583585297901312811, 1712
1583585298901313084, 1709
1583585299901313567, 1712
1583585300901318493, 1682
1583585301901323301, 1689
1583585302901344882, 1702
1583585303901333473, 1713
1583585304901298731, 1712
1583585305901326989, 1702
1583585306901303069, 1715
1583585307901326509, 1685
1583585308901326760, 1705
1583585309901329980, 1707
1583585310901331744, 1703
1583585311901326815, 1712
1583585312901344519, 1695
1583585313901333446, 1680
1583585314901335146, 1714
1583585315901332603, 1711
1583585316901335944, 1712
1583585317901336348, 1709
1583585318901341316, 1687
1583585319901335701, 1686
1583585320901338876, 1713
1583585321902349300, 1711
1583585322902345136, 1701
1583585323902347794, 1712
1583585324902346494, 1697
1583585325902342123, 1703
1583585326902351288, 1711
1583585327902337377, 1712
1583585328902361507, 1703
1583585329902353265, 1671
1583585330902352550, 1680
1583585331902344398, 1709
1583585332902326365, 1711
1583585333902356008, 1707
1583585334902294729, 1706
1583585335902354428, 1691
1583585336902343685, 1712
1583585337902322784, 1703
1583585338902332465, 1685
1583585339902360512, 1698
1583585340902330137, 1689
1583585341902362385, 1703
1583585342902352141, 1703
1583585343901321232, 1703
1583585344902336515, 1692
1583585345902373815, 1712
1583585346902365987, 1694
1583585347902365351, 1683
1583585348902368761, 1696
1583585349902372180, 1685
1583585350902345853, 1689
1583585351902368474, 1696
1583585352902335978, 1706
1583585353902338717, 1712
1583585354902330912, 1690
1583585355902338752, 1687
1583585356902374220, 1680
1583585357902372734, 1703
1583585358902347862, 1680
1583585359902366785, 1728
1583585360902378004, 1689
1583585361902379054, 1685
1583585362902384136, 1701
1583585363902349185, 1697
1583585364902321153, 1690
1583585365902340444, 1696
1583585366902359276, 1694
1583585367902395373, 1694
1583585368902384907, 1701
1583585369902341731, 1695
1583585370902374017, 1683
1583585371902346410, 1689
1583585372902351417, 1706
1583585373902354300, 1712
1583585374902391693, 1693
1583585375901383744, 1690
1583585376902364562, 1693
1583585377902385287, 1685
1583585378902332542, 1705
1583585379902353194, 1686
1583585380903341270, 1706
1583585381903350414, 1699
1583585382903377134, 1684
1583585383903353171, 1680
1583585384903396928, 1695
1583585385903403601, 1690
1583585386903399860, 1693
1583585387903399990, 1689
1583585388903329221, 1703
1583585389903362065, 1682
1583585390903362275, 1680
1583585391903413417, 1687
1583585392903376906, 1690
1583585393903367166, 1718
1583585394903402934, 1687
1583585395903378203, 1683
1583585396903404089, 1687
1583585397903408564, 1701
1583585398903406941, 1680
1583585399903409980, 1690
1583585400903340855, 1702
1583585401903369942, 1683
1583585402903374977, 1678
1583585403903368869, 1686
1583585404903363492, 1680
1583585405903379005, 1683
1583585406903380607, 1740
1583585407901373630, 1678
1583585408903348070, 1702
1583585409903366315, 1681
1583585410903371255, 1699
1583585411903379870, 1697
1583585412903375518, 1710
1583585413903386667, 1680
1583585414903407410, 1695
1583585415903416022, 1685
1583585416903400635, 1685
1583585417903419283, 1684
1583585418903410109, 1691
1583585419903416808, 1696
1583585420903421328, 1680
1583585421903429082, 1691
1583585422903398109, 1685
1583585423903419636, 1711
1583585424903359819, 1687
1583585425903421780, 1680
1583585426903388497, 1681
1583585427903385247, 1693
1583585428903373179, 1674
1583585429903383461, 1687
1583585430903365382, 1691
1583585431903388927, 1677
1583585432903427876, 1687
1583585433903387026, 1705
1583585434903432182, 1685
1583585435903421368, 1690
1583585436903432984, 1678
1583585437903430210, 1682
1583585438903430047, 1689
1583585439901438564, 1702
1583585440904399636, 1697
1583585441904430875, 1700
1583585442904421302, 1706
1583585443904431144, 1703
1583585444904434637, 1697
1583585445904397170, 1679
1583585446904437637, 1691
1583585447904436463, 1694
1583585448904412010, 1677
1583585449904434992, 1687
1583585450904433450, 1686
1583585451904450571, 1680
1583585452904430647, 1705
1583585453904400928, 1685
1583585454904373984, 1695
1583585455904401256, 1685
1583585456904438380, 1695
1583585457904401120, 1693
1583585458904402857, 1701
1583585459904434475, 1680
1583585460904399793, 1700
1583585461904403809, 1675
1583585462904475399, 1686
1583585463904444248, 1692
